X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	18.07207	-2.797741
0	0	0	0	0	0	22.64948	-0.01360529
0	0	0	0	0	0	24.3652	1.818987
0	0	0	0	0	0	23.2798	2.529364
0	0	0	0	0	0	21.7281	2.719308
0	0	0	0	0	0	16.82745	0.6641687
0	0	0	0	0	0	11.09342	-1.811057
0	0	0	0	0	0	5.369328	-5.352407
0	0	0	0	0	0	0.1411133	-11.25982
0	0	0	0	0	0	-0.902181	-16.69878
0	0	0	0	0	0	-3.685038	-19.17564
0	0	0	0	0	0	-1.471998	-21.17848
0	0	0	0	0	0	-2.762905	-21.13035
0	0	0	0	0	0	-1.819463	-20.67249
0	0	0	0	0	0	-2.668945	-17.23553
0	0	0	0	0	0	1.69222	-3.765495
0	0	0	0	0	0	-0.8276019	-2.504482
0	0	0	0	0	0	-0.4814078	5.750488
0	0	0	0	0	0	0.9233586	12.66311
0	0	0	0	0	0	1.126212	20.61216
0	0	0	0	0	0	5.241009	21.29223
0	0	0	0	0	0	-10.82437	14.67638
0	0	0	0	0	0	-1.50877	26.28542
0	0	0	0	0	0	-0.7229761	26.08314
0	0	0	0	0	0	-0.1220366	14.97181
0	0	0	0	0	0	1.600758	12.46315
0	0	0	0	0	0	0.3004557	-1.656108
0	0	0	0	0	0	-1.490649	-18.40356
0	0	0	0	0	0	-0.9293507	-16.3815
0	0	0	0	0	0	1.106522	-10.78297
0	0	0	0	0	0	0.9906921	-8.623016
0	0	0	0	0	0	0.2357236	-10.76311
0	0	0	0	0	0	-19.19147	-13.99371
0	0	0	0	0	0	-0.2193359	-14.83512
0	0	0	0	0	0	-16.01365	-13.54695
0	0	0	0	0	0	-0.8388867	-17.68242
0	0	0	0	0	0	-1.085618	-14.92206
0	0	0	0	0	0	-1.030801	-9.668867
0	0	0	0	0	0	-0.6758161	-1.82094
0	0	0	0	0	0	-0.6618652	4.729793
0	0	0	0	0	0	0.861499	11.35364
0	0	0	0	0	0	2.25592	14.77513
0	0	0	0	0	0	1.340748	16.98136
0	0	0	0	0	0	-1.00887	18.49304
0	0	0	0	0	0	-1.187916	19.05505
0	0	0	0	0	0	-0.5236059	18.42388
0	0	0	0	0	0	0.3057617	14.73385
0	0	0	0	0	0	0.529107	6.138292
0	0	0	0	0	0	-1.843796	-5.687105
0	0	0	0	0	0	-5.737621	-11.9431
0	0	0	0	0	0	-8.540755	-7.653076
0	0	0	0	0	0	-10.99497	-3.576099
0	0	0	0	0	0	-14.80979	0.782544
0	0	0	0	0	0	-17.03164	2.695289
0	0	0	0	0	0	-19.08326	2.75121
0	0	0	0	0	0	-18.99475	1.312291
0	0	0	0	0	0	-18.25986	-0.9208252
